name,task,channel,avg,slope,variance,skewness,kurtosis,max,min,sum
name_1,A,1,0.000515099,-5.19E-07,9.86E-07,-0.149702536,2.085356302,0.002188348,-0.001506078,0.261670109
name_1,A,2,-0.000307431,-3.45E-06,2.07E-06,-0.462304773,2.412023255,0.001939285,-0.003335495,-0.15617472
name_1,A,3,0.000860158,1.83E-06,7.52E-07,1.239883423,4.669737682,0.003453549,-0.00026927,0.436960355
name_1,A,4,0.001451138,-5.65E-07,3.21E-06,-0.157429061,2.074848703,0.004991856,-0.001839626,0.73717816
name_1,A,5,-0.001105857,-3.56E-06,1.86E-06,-0.26063341,2.974018843,0.001943882,-0.004130677,-0.561775153
name_1,A,6,0.000272341,8.20E-07,2.00E-07,0.936914077,4.303992641,0.001547125,-0.000501691,0.138349291
name_1,A,7,0.00192862,-6.52E-07,2.23E-06,0.332038142,2.153383691,0.005040736,-0.000362389,0.979739182
name_1,A,8,0.000509821,-2.19E-06,1.03E-06,-0.073185226,2.158728574,0.002466925,-0.001367043,0.258988946
name_1,A,9,0.000197893,1.89E-08,2.05E-07,-0.759096591,3.509931378,0.001255893,-0.000998644,0.100529707
name_1,A,10,0.002959467,-6.61E-06,5.19E-06,0.018017218,1.752070322,0.006680154,-0.000788971,1.503409063
name_1,A,11,0.000124949,-1.73E-06,2.02E-06,-0.515499788,2.66146833,0.002563194,-0.002988582,0.063474216
name_1,A,12,0.001413101,4.05E-06,9.71E-07,1.304732456,4.283502688,0.00444031,-0.000254536,0.717855397
name_1,A,13,0.002415293,-2.17E-07,2.32E-06,0.049968101,1.877344074,0.00523874,-0.000446033,1.226968731
name_1,A,14,0.000578661,4.31E-06,1.03E-06,0.043532463,2.069410827,0.00307704,-0.001413193,0.293959987
name_1,A,15,0.002561532,2.21E-06,1.43E-06,0.035388986,3.303947952,0.005300546,-0.000364684,1.301258305
name_1,B,1,0.000402823,5.37E-07,9.25E-07,0.079907751,2.635371032,0.00238909,-0.001645401,0.204634043
name_1,B,2,-0.001179782,5.78E-06,2.66E-06,0.40321609,2.588685256,0.002366251,-0.004032553,-0.599329157
name_1,B,3,-0.000275358,4.01E-07,1.73E-07,0.027699842,2.408856444,0.000543498,-0.001155814,-0.139881632
name_1,B,4,-0.001594622,-1.92E-06,7.35E-07,0.532201457,2.58439289,0.000289716,-0.002998176,-0.810067728
name_1,B,5,-0.001200633,1.56E-06,5.14E-07,0.612694192,2.331889137,0.000255014,-0.00227645,-0.609921709
name_1,B,6,-0.001183763,-2.13E-06,3.16E-07,1.265424925,3.767065104,0.000268987,-0.00188498,-0.601351405
name_1,B,7,-0.00048537,-1.08E-06,5.33E-07,-0.725107627,2.408252191,0.000589127,-0.002167613,-0.246568069
name_1,B,8,-0.00138811,-1.98E-06,3.60E-07,0.855347064,3.578005683,0.000120097,-0.002347478,-0.705160117
name_1,B,9,-0.00055072,8.68E-08,1.87E-07,0.540076665,2.394971089,0.000369289,-0.001240292,-0.279765833
name_1,B,10,-0.000242524,-1.18E-06,5.09E-07,-0.855523706,2.309140356,0.000599342,-0.001702123,-0.123202363
name_1,B,11,-0.00044186,1.44E-06,3.04E-07,0.309670842,3.293720878,0.000860747,-0.001542168,-0.224465109
name_1,B,12,0.000135449,2.28E-06,3.11E-07,-0.255073735,1.899090801,0.001086614,-0.000876153,0.068808273
name_1,B,13,-0.000721653,6.17E-07,3.42E-07,0.01454512,2.677784377,0.000471314,-0.001946903,-0.366599641
name_1,B,14,-0.000379251,1.95E-06,4.79E-07,0.202345159,1.954379393,0.000878131,-0.001534772,-0.192659647
name_1,B,15,0.002574384,4.87E-06,2.49E-06,0.259878046,1.945882167,0.005411993,-3.21E-05,1.307786943
name_1,C,1,0.001531236,-3.41E-06,2.22E-06,0.678055964,2.619833708,0.004869098,-0.000797617,0.77786792
name_1,C,2,0.003197644,1.77E-08,2.18E-06,-0.071385404,2.425142177,0.005875871,-0.000269963,1.624402977
name_1,C,3,0.001476125,3.28E-06,6.22E-07,-1.025579999,3.036316493,0.002495449,-0.000474267,0.749871572
name_1,C,4,0.001957589,3.26E-06,9.05E-07,-0.273268805,2.417657805,0.003692693,-0.000104766,0.994455186
name_1,C,5,0.000774074,-5.79E-06,2.17E-06,0.22174476,1.598376686,0.003346273,-0.001348166,0.393229445
name_1,C,6,0.000348809,-2.68E-07,1.28E-07,-0.67917932,3.084997704,0.000965673,-0.000585046,0.177194961
name_1,C,7,0.0028431,-4.68E-06,2.81E-06,0.498868635,2.546026092,0.006620799,-9.81E-05,1.444294868
name_1,C,8,0.000352503,-6.05E-06,1.47E-06,1.00164284,2.65819909,0.002980825,-0.000846651,0.179071601
name_1,C,9,0.000508133,-2.37E-06,3.45E-07,1.004578327,3.302017026,0.002032093,-0.000401589,0.258131375
name_1,C,10,0.003138511,-7.80E-06,4.21E-06,0.501242842,2.244750251,0.007571872,-6.93E-05,1.594363402
name_1,C,11,0.001103204,-4.27E-06,1.54E-06,0.363605103,1.74229458,0.003436189,-0.000743172,0.56042748
name_1,C,12,0.002206728,-1.10E-06,5.60E-07,-0.447133835,4.768140979,0.003958728,-0.000107479,1.121017782
name_1,C,13,0.000982943,-4.69E-06,1.01E-06,0.3063876,2.035712283,0.003033707,-0.000414047,0.499335121
name_1,C,14,0.001860815,1.58E-06,7.82E-07,0.239005727,2.706182455,0.003804304,-8.04E-05,0.945294034
name_1,C,15,0.002436816,-5.54E-06,2.71E-06,0.58425906,2.60138572,0.006285484,-5.06E-05,1.237902377
name_2,A,1,-0.000214511,-2.22E-06,2.25E-07,0.9366068,2.429788217,0.000809616,-0.000676217,-0.108971685
name_2,A,2,0.000303046,-2.18E-06,4.20E-07,0.347964312,2.084729132,0.0015163,-0.000820409,0.153947455
name_2,A,3,-0.000389227,-7.28E-06,1.93E-06,0.850097657,2.578943605,0.002822229,-0.002324667,-0.197727441
name_2,A,4,2.74E-05,-1.10E-06,2.89E-07,0.358693202,1.927076264,0.001152391,-0.00074,0.013895961
name_2,A,5,0.00050748,-5.47E-07,2.80E-07,0.005274424,1.958161915,0.001485789,-0.000491943,0.257799936
name_2,A,6,5.46E-05,-2.95E-06,4.23E-07,0.323421278,2.349420152,0.001462661,-0.001113756,0.027752761
name_2,A,7,4.02E-05,3.71E-07,3.05E-07,0.208614761,1.964892682,0.001156064,-0.00080078,0.020400015
