name,task,channel,avg,slope,variance,skewness,kurtosis,max,min,sum
name_1,A,1,-0.002108614,-4.6618E-05,1.68976E-06,0.600987184,2.016574135,0.000665104,-0.003485454,-0.193992531
name_1,A,2,-0.002066564,-4.03906E-05,1.56096E-06,0.672707787,2.271749474,0.000798937,-0.003485883,-0.190123843
name_1,A,3,-0.001491032,-3.9097E-05,1.16488E-06,0.182276425,1.414103313,8.28144E-05,-0.002787502,-0.137174907
name_1,A,4,-0.002289702,-5.31909E-05,2.18211E-06,0.460032423,1.670571992,0.000331061,-0.003854936,-0.210652545
name_1,A,5,-0.00051665,-5.64369E-06,1.31978E-07,0.609986848,2.299420096,0.00034775,-0.000956189,-0.047531832
name_1,A,6,-0.000899279,-2.2155E-05,3.65119E-07,0.323597703,1.580341282,0.000110436,-0.001588685,-0.082733664
name_1,A,7,-0.001428882,-3.4053E-05,8.78096E-07,0.384484998,1.691168805,0.000314922,-0.002497428,-0.131457126
name_1,A,8,-0.00070904,-1.83576E-05,2.46163E-07,0.153785161,1.635802272,0.000194583,-0.001345415,-0.06523171
name_1,A,9,-0.0007087,-1.61363E-05,1.99568E-07,0.508547524,1.864075451,0.000184557,-0.001199282,-0.065200417
name_1,A,10,-0.001525887,-3.72024E-05,1.03419E-06,0.331656926,1.629558014,0.000268167,-0.002705049,-0.140381622
name_1,A,11,-0.000471399,-9.87591E-06,9.9512E-08,0.266473258,1.970082584,0.00020156,-0.000901945,-0.043368723
name_1,A,12,-0.000702494,-1.32856E-05,1.73811E-07,0.736424735,2.287626186,0.000235919,-0.00115467,-0.064629419
name_1,A,13,-0.002031947,-4.49335E-05,1.72251E-06,0.471921944,1.653180645,0.00018605,-0.003478369,-0.186939091
name_1,A,14,-0.00063707,-8.93485E-06,1.53901E-07,0.63009937,2.271181971,0.00026697,-0.001091457,-0.05861045
name_1,A,15,-0.001508171,-3.15852E-05,7.88496E-07,0.795819793,2.390499217,0.0005616,-0.002396539,-0.138751736
name_1,B,1,-0.001712487,-4.44055E-05,1.4176E-06,0.147422252,1.649611775,0.000314098,-0.003356229,-0.157548789
name_1,B,2,-0.002237131,-5.86247E-05,2.45744E-06,0.086861921,1.704819643,0.000409028,-0.004565445,-0.205816062
name_1,B,3,-0.000881609,-3.05146E-05,7.07345E-07,-0.449896553,1.688681693,2.10327E-05,-0.002371521,-0.081108033
name_1,B,4,-0.001840248,-5.71792E-05,2.40892E-06,-0.187500688,1.478726239,2.93766E-05,-0.004188287,-0.169302846
name_1,B,5,-0.000524604,-1.17441E-05,1.0301E-07,0.524566438,2.514360567,0.000219146,-0.001035713,-0.048263574
name_1,B,6,-0.000566118,-1.9913E-05,3.05348E-07,-0.292177365,1.502460664,7.28213E-05,-0.001451606,-0.052082826
name_1,B,7,-0.001587462,-4.39948E-05,1.38655E-06,-0.037592064,1.616366408,0.000214415,-0.003410489,-0.146046484
name_1,B,8,-0.000786433,-2.16764E-05,3.38043E-07,0.014753994,1.548592639,9.45522E-05,-0.00163687,-0.07235188
name_1,B,9,-0.000691889,-2.14927E-05,3.39826E-07,-0.183365369,1.495956531,1.3066E-05,-0.001613382,-0.063653796
name_1,B,10,-0.00164752,-4.05985E-05,1.19557E-06,0.293004252,1.721455406,0.000280774,-0.003142253,-0.151571823
name_1,B,11,-0.001006741,-2.71546E-05,5.2836E-07,0.045201957,1.612894013,0.000133503,-0.002106828,-0.092620218
name_1,B,12,-0.000740457,-2.25149E-05,3.68825E-07,-0.306273518,1.703874704,6.45674E-05,-0.001785294,-0.06812208
