name,task,channel,avg,slope,variance,skewness,kurtosis,max,min,sum
name_1,A,1,-0.000594662,-6.93347E-05,4.78133E-07,0.124953128,1.73963554,0.000578095,-0.001639361,-0.02021852
name_1,A,2,-0.000968448,-0.000112751,1.28418E-06,0.331778459,1.806868903,0.001116171,-0.002470546,-0.032927246
name_1,A,3,-0.000273363,-3.26058E-05,1.05903E-07,0.16285319,1.93367379,0.000325961,-0.000798738,-0.00929434
name_1,A,4,-0.000352149,-4.22687E-05,1.82446E-07,0.467499756,2.128415816,0.000529596,-0.00095759,-0.011973068
name_1,A,5,-0.00073098,-8.43809E-05,7.10866E-07,0.158225624,1.6765677,0.000674302,-0.001929563,-0.024853334
name_1,A,6,-0.00012273,-1.45819E-05,2.11395E-08,0.122509613,1.891699161,0.000138551,-0.000358279,-0.004172803
name_1,A,7,-0.000698297,-8.19061E-05,6.73501E-07,0.288115899,1.839000032,0.000815458,-0.001858803,-0.023742108
name_1,A,8,-0.000526282,-6.11425E-05,3.74142E-07,0.224080105,1.741706725,0.00054395,-0.001387206,-0.017893601
name_1,A,9,-0.00034085,-3.96015E-05,1.55942E-07,0.101575982,1.709987497,0.000315221,-0.000936073,-0.011588883
name_1,A,10,-0.000773586,-9.0887E-05,8.27235E-07,0.260627319,1.839918726,0.000894487,-0.002089846,-0.026301923
name_1,A,11,-0.000878465,-0.000101662,1.03469E-06,0.213441078,1.7109035,0.000873224,-0.002292602,-0.029867804
name_1,A,12,-0.000460515,-5.39737E-05,2.91548E-07,0.247894279,1.816780746,0.000519515,-0.00123819,-0.015657515
name_1,A,13,-0.000597645,-7.03672E-05,5.20908E-07,0.615169933,2.10928247,0.000907466,-0.001420061,-0.020319944
name_1,A,14,-0.000625026,-7.27126E-05,5.32369E-07,0.298964474,1.785106418,0.000698704,-0.001608754,-0.02125088
name_1,A,15,-0.000685105,-8.00128E-05,6.38888E-07,0.197752094,1.771417067,0.000721294,-0.001853069,-0.023293561
name_1,B,1,-0.000548033,-6.42821E-05,4.11862E-07,-0.185982673,1.800912153,0.000413031,-0.00168629,-0.018633127
name_1,B,2,-0.000615446,-7.20888E-05,5.22031E-07,-0.291929141,1.829655797,0.000399172,-0.001943996,-0.02092518
name_1,B,3,8.13493E-06,6.14497E-07,6.4586E-09,-0.540789034,1.999727405,0.000100135,-0.000156433,0.000276588
name_1,B,4,-0.000112115,-1.33258E-05,4.3709E-08,-1.132431084,3.30527275,9.03316E-05,-0.000654593,-0.003811909
name_1,B,5,-0.00042355,-4.96596E-05,2.45206E-07,0.133651095,1.78483899,0.000436342,-0.001182998,-0.014400694
